NAME,SURNAME,AGE,GENDER,CASTE,MOBILE,MEMBERSHIP,VOTER-ID,GRADUATE,ASSEMBLY-CODE,BOOTH-CODE,DOOR_NUMBER,STREET,PINCODE,EMAIL,VEHICLE
BALA,j,20,Male,OC,7289632510,9632587423,,NO,108,36,42892,,,email.@gmail.com,Four Wheeler
BALA,j,hu,Male,st,,2354698745,dd54632145925,!!,108,33,23163,,,email..email@gmail.com,fo wheer
BALA kumr,j,10,Male,OC,7289632510,9632587410,xx,YES,108,33,,,,email@-gmail.com,@
BALA kumr,j,ghg,Male,Bc,7289632520,9632587410,sd5463214597,YES,108,33,,,,email@gmail.web,Both
,,,male,OC,85421369782,58965236,63214591,YES,108,33,,,,email@gmail..com,both
raju,nt,20,Male,others,9703332968,1000122356,5463214591,YES,108,33,,,,12ASSA@gmail.com,b    oth
raju,nt,21,Male,other,9703332968,1000122356,5463214591,YES,108,33,,,,nagendra.korada@GMAIL.COM,    both    
SUNITHA kumar,nt,22,MALE,bc,9703332987,1000122356,wxx5463214591,YES,108,33,,,,A12hds@gmail.com,both      
rohith kumar,nt,22,Male,o,9703332987,1000567896,Male,YES,108,33,,,,123Qgdg@gmail.com,2
rohith kumar,k,22,Male,,9703332987,1000567897,,YES,108,33,,,,dillpjuj@yahoo.co.in&,4
abcgdjkjki,avf,kl,abc,scc,abcgdfhgjk,abcdehgjhg,hjuh1274554,YES,108,33,,,,dillpjuj@yahoo.co.i%,5
##yuojhnjh,()juojukio,31,female,bc,!!^&hgkenu,##wehjkldjkl,hjuh123557,YES,108,33,,,,dillpjuj@yahoo.c#,3
xyz kumari,I k,31,Male,Oc,9000000001,1000000001,1010101711,YES,108,33,,,,ffdd_gfgd12@gmail.com,
devara,I ,31,FeMale,BC,9000000001,1000000231,1010181011,YES,108,33,,,,NAGENDRAKORADA@GMAIL.COM,2
devara,I N,32,FEMALE,BC,9000000021,1000000231,1010701012,YES,108,33,,,,GFDHD@@GMAIL.COM,4
SIMHADRI,I ,31,Male,BC,9000000001,1000000231,       1010GFJKI4,YES,108,33,,,,sgdshs@gm#.com,5
RAVI kiran,N,25,Male,OC,8523697432,2365895432,5467214590,YES,108,33,,,,23243424@gmail.co*,
BALA,v,25,Male,OC,8523697432,2365895432,5467214590,   YES,108,33,,,,123111@gmail.com.innnnnnnnnnnnn,
raju kumari,kkkkkkk,25,Male,OC,8523697412,2365895401,54654214589,YES    ,108,33,,,,dsfaa@gmail12.com,
     RAGHU RAJU ,   Indukuri ,37,M,OC  ,9849466777,1006051599,AP0402801475806                 ,,108,33,    6-63     ,    nsp    ,526523,    kil@gmail.com    ,      None   
MURALI MOHAN  RAJU    ,B ,3    4  ,M ale,O C  ,9441633112,1027151043,AP040280147643   ,,108,33,,,,,
APPALANARASAYYAMMA,Budda raju,37,  M,OC  ,9553852780,2001874060,                 AP040220147248    ,,108,33,,,,,
RAMAKRISHNA,Pentakota,3  7, M ,   OC  ,850   0904353,200   1874867,AP040     280127340,Y es,108,33,7-75    kjkj,gasfa    jhh,85  25 ,nagendrakorada       123@gmail.com,4
VALLAPU RAJU,Dandasi,37, M    ale,OC  ,9494780521,2001874057,          ZAL02544392,,108,33,,,,,4 wheeler
          ,         ,        ,              ,  ,           ,             ,  ,       , ,,  ,   ,  ,   ,2
 bbb, www  ,24,,    ,9445780521,211187404,ZAL0254439245,,108,33,,,,nag123@gmail.net,
nn,N.,54,M,o c,9445780522,2111874058,ZAL0254439246,,108,33,,,,se233@gmail.web,
chowdary ,j,28,Male,,9445780523,2111874059,,,108,33,,,,,
,j,28,Male,,9445780524,2111874060,,,108,33,,,,,
tiru,,23,m,,9445780525,2111874061,,,108,33,,,,,
sai,g,,m,,9445780526,2111874062,,,108,33,,,,,
king,h,30,,,9445780527,2111874063,,,108,33,,,,,
king,h,31,M,,,2111874063,,,108,33,,,,,
king,h,32,M,,9474572586,,,,108,33,,,,,
12,123,123,123,123,1223,1223,13213,,,,,,,,
Vinod,k,30,m,MUSLIM,7143333349,7143333347,Aasd1234548798,yes,108,36,0,nsp,852369,nagEndra@gmail.com,2
rajesh,k,30,m,Christian,7143333350,7143333348,Aasd1234548799,no,108,36,43,gf,741565,nndfd@gmail.com,None
Nagendra,K K,23,m,Christian,7143333351,7143333349,Aasd1234548794,no,108,36,#65,dhhsd,753357,wrer@gmail.com,2
Nagendra,K K,23,m,Christian,7143333352,7143333350,,,108,36,19480,PEDDA---,532421,plainaddress,N    ONE
Nagendra,K K,23,m,Christian,7143333353,7143333351,,,108,36,"23-34,nhh",12334,52365,dsfaa@gmail12.c12,two wheer
Nagendra,K K,23,m,Christian,7143333354,7143333352,,,108,36,23163,!#,nbvhg, @domain.com,two wheeler
Nagendra,K K,23,m,Christian,7143333355,7143333353,,,108,36,# 56,!@,532     1,Joe Smith <email@gmal.com>,Two Wheeler
Nagendra,K K,23,m,Christian,7143333356,7143333354,,,108,36,23163,naras--,5    6,email.gmail.com,T      wo Wheeler
Nagendra,K K,23,m,Christian,7143333357,7143333355,,,108,36,ascff,dhhsd,5236526,"""email""@gmail.com",Two W     heeler
Nagendra,K K,23,m,Christian,7143333358,7143333356,,,108,36,^&^^&,212121,#122s,1234567890as@gmail.com,2585
Nagendra,K K,23,m,Christian,7143333359,7143333357,,,108,36,":""""",:'.';,2aas,_______@gmail.com,_+7585
Nagendra,K K,23,m,Christian,7143333360,7143333358,,,108,36,$!#,sdsd,,email@gmail.co.jp,foue Wheeller
Nagendra,K K,23,m,Christian,7143333361,7143333359,,,108,36,HD,NAEA,#@,plainaddress,four Wheeler
Nagendra,K K,23,m,Christian,7143333362,7143333360,,,108,36,SD,NARASANNAP\ETA  ,8523@,gmail.com,f     our Wheeler
Nagendra,K K,23,m,Christian,7143333363,7143333361,,,108,36,23163,,,email.gmail.com,four w  heeler
Nagendra,K K,23,m,Christian,7143333364,7143333362,,,108,36,,,,gmail@gmail@gmail.com,Four Wheeler
Nagendra,K K,23,m,Christian,7143333365,7143333363,,,108,36,,,,.email@gmail.com ,fo wheer
Nagendra,K K,23,m,Christian,7143333366,7143333364,,,108,36,,,,email.@gmail.com,@
Nagendra,K K,23,m,Christian,7143333367,7143333365,,,108,36,,,,email..email@gmail.com,Both
Nagendra,K K,23,m,Christian,7143333368,7143333366,,,108,36,,,,email@-gmail.com,both
Nagendra,K K,23,m,Christian,7143333369,7143333367,,,108,36,,,,email123@gmail.web,b    oth
Nagendra,K K,23,m,Christian,7143333370,7143333368,Aasd1234548794,,108,36,,,,email@gmail..com,    both    
Nagendra,K K,23,m,Christian,7143333371,7143333369,Aasd1234548794123456789,,108,36,,,,,2
